Year,Nominal GDP,PSND,PSNB,Debt Interest,Debt-to-GDP Ratio (%),Primary Balance,Primary Balance-to-GDP Ratio (%),Total Revenue,Debt Affordability Ratio (%)
2008,1593.6,567200.0,47125.0,34895.0,35.592369477911646,12230.0,0.7674447791164659,583854.0,5.976665399226519
2009,1548.8,787200.0,119372.0,24431.0,50.82644628099174,94941.0,6.129971590909091,569099.0,4.292926186832168
2010,1608.6,1027900.0,159906.0,39324.0,63.90028596294915,120582.0,7.496083550913838,563967.0,6.97274840549181
2011,1662.6,1168700.0,141786.0,45004.0,70.29351617947792,96782.0,5.821123541441116,603409.0,7.458291142492074
2012,1713.7,1261200.0,121290.0,37969.0,73.59514500787769,83321.0,4.862052868063255,624923.0,6.075788537147776
2013,1781.4,1366200.0,123911.0,38472.0,76.69248905355339,85439.0,4.7961715504659255,636794.0,6.041514210246956
2014,1862.5,1461100.0,102465.0,37588.0,78.44832214765101,64877.0,3.4833288590604026,663829.0,5.662301586703804
2015,1916.5,1552900.0,96867.0,33041.0,81.02791547091051,63826.0,3.330341768849465,690628.0,4.78419641254047
2016,1991.6,1599700.0,81516.0,35659.0,80.32235388632256,45857.0,2.302520586463145,714078.0,4.993712171499472
2017,2082.5,1718000.0,54804.0,42487.0,82.4969987995198,12317.0,0.5914525810324129,757572.0,5.608311817226613
2018,2152.3,1757300.0,58916.0,42094.0,81.64753984110021,16822.0,0.7815824931468661,780660.0,5.392104117029181
2019,2233.9,1776900.0,44267.0,36845.0,79.5425041407404,7422.0,0.3322440574779534,813448.0,4.529484367777658
2020,2103.5,1815000.0,61453.0,25132.0,86.28476348942239,36321.0,1.726693605894937,826494.0,3.0407964244144545
2021,2285.4,2152900.0,312942.0,47552.0,94.20232782007524,265390.0,11.61240920626586,793539.0,5.992396088913084
2022,2526.4,2381900.0,121091.0,114670.0,94.28039898670043,6421.0,0.2541561114629512,919925.0,12.465146615213197
2023,2717.3,2530400.0,139213.0,111300.0,93.12184889412283,27913.0,1.027232915025945,1017488.0,10.938703945402796
2024,2848.0,2719839.9999999995,137300.0,87500.0,95.5,49800.0,1.7485955056179776,1105500.0,7.914970601537766
2025,2967.6,2845928.4000000004,117700.0,101500.0,95.9,16200.0,0.5458956732713304,1192200.0,8.513672202650561
2026,3073.4,2922803.4,97200.0,104800.0,95.1,-7600.0,-0.2472831391943775,1253800.0,8.358589886744298
2027,3190.2,3056211.6,80200.0,113400.0,95.8,-33200.0,-1.0406871042567865,1310800.0,8.651205370765945
2028,3309.2,3180141.2,77400.0,121100.0,96.1,-43700.0,-1.3205608606309682,1352800.0,8.951803666469544
2029,3432.5,3305497.5,74000.0,129300.0,96.3,-55300.0,-1.6110706482155863,1402400.0,9.219908727895037
