Year,Nominal GDP,PSND,PSNB,Debt Interest
2008,1593.6,567200.0,47125.0,34895.0
2009,1548.8,787200.0,119372.0,24431.0
2010,1608.6,1027900.0,159906.0,39324.0
2011,1662.6,1168700.0,141786.0,45004.0
2012,1713.7,1261200.0,121290.0,37969.0
2013,1781.4,1366200.0,123911.0,38472.0
2014,1862.5,1461100.0,102465.0,37588.0
2015,1916.5,1552900.0,96867.0,33041.0
2016,1991.6,1599700.0,81516.0,35659.0
2017,2082.5,1718000.0,54804.0,42487.0
2018,2152.3,1757300.0,58916.0,42094.0
2019,2233.9,1776900.0,44267.0,36845.0
2020,2103.5,1815000.0,61453.0,25132.0
2021,2285.4,2152900.0,312942.0,47552.0
2022,2526.4,2381900.0,121091.0,114670.0
2023,2717.3,2530400.0,139213.0,111300.0
2024,2848.0,2719839.9999999995,137300.0,87500.0
2025,2967.6,2845928.4000000004,117700.0,101500.0
2026,3073.4,2922803.4,97200.0,104800.0
2027,3190.2,3056211.6,80200.0,113400.0
2028,3309.2,3180141.2,77400.0,121100.0
2029,3432.5,3305497.5,74000.0,129300.00000000001
